source,destination,w,n_obs
11-1011,11-1021,105769.3457,28
11-1011,11-2011,10472.2955,3
11-1011,11-3021,31971.899,9
11-1011,11-3031,72734.9671,25
11-1011,11-3051,10689.4259,3
11-1011,11-3061,10246.574,2
11-1011,11-3071,12435.319599999999,3
11-1011,11-3121,5585.940200000001,3
11-1011,11-9013,14444.0656,6
11-1011,11-9021,32804.8603,12
11-1011,11-9041,10796.7395,2
11-1011,11-9051,10406.687,6
11-1011,11-9111,29131.9019,11
11-1011,11-9141,49639.2631,15
11-1011,11-9151,45963.558300000004,19
11-1011,13-1011,3647.6606,1
11-1011,13-1023,5433.5534,1
11-1011,13-1041,14413.3349,4
11-1011,13-1111,62488.0158,20
11-1011,13-1121,5249.0129,1
11-1011,13-1131,9880.243,3
11-1011,13-1161,57452.6866,16
11-1011,13-1199,34969.1499,11
11-1011,13-2011,46341.4526,15
11-1011,13-2031,3609.178,1
11-1011,13-2051,23400.6997,5
11-1011,13-2052,22683.279300000002,8
11-1011,15-1211,11520.9502,4
11-1011,15-1212,9493.9824,2
11-1011,15-1251,3004.6443,1
11-1011,15-1253,41410.6909,10
11-1011,15-2011,594.0166,1
11-1011,15-2031,16974.263,5
11-1011,17-2011,263.8676,1
11-1011,17-2051,22552.511300000002,6
11-1011,17-2061,5540.5784,1
11-1011,17-2121,3445.6833,1
11-1011,17-2199,25876.8615,6
11-1011,19-2021,4941.0223,1
11-1011,19-2099,16220.5176,5
11-1011,19-3011,917.098,1
11-1011,21-1093,6897.2303,1
11-1011,21-2011,4741.276,1
11-1011,21-2099,4597.4115,1
11-1011,23-1011,20873.956899999997,8
11-1011,23-2011,10469.0915,3
11-1011,27-2012,10817.3971,4
11-1011,27-3031,20370.5011,7
11-1011,27-3041,17682.6001,4
11-1011,27-3043,11727.7383,3
11-1011,29-1041,3718.4248,1
11-1011,29-1051,4577.0089,1
11-1011,29-1129,13050.4623,3
11-1011,29-1131,4377.002,1
11-1011,29-1141,19348.2107,6
11-1011,29-1171,2928.2058,1
11-1011,29-1292,3436.4556,1
11-1011,31-1122,11073.5237,3
11-1011,33-3051,3999.2362,1
11-1011,35-1011,3947.369,1
11-1011,35-1012,9457.115099999999,2
11-1011,35-2021,3281.3135,1
