K,system,n_edges,w_sum,share_of_within,median_uR,p25_uR,p75_uR
2,0,5363,140.40652169923715,0.6846222494567417,0.8977035942390194,0.5417531912734922,1.3045902956521152
2,1,1594,64.67959960437503,0.3153777505432584,0.6704554297970298,0.41929434104366275,1.0715091879277667
3,0,4105,107.517026355776,0.5607846289486664,0.8684071806106678,0.5286750607553257,1.2742291585417693
3,1,1622,68.41428452429523,0.35683352174187355,0.7151886996955527,0.4466984260980856,1.204810074152616
3,2,328,15.794747227733975,0.08238184930945996,0.7843048251536867,0.41866378118509096,1.1572008458313428
4,0,517,28.815560492311132,0.16852502920237883,0.5473545643191177,0.3923912565302429,0.9744819274501839
4,1,4530,118.08321375595871,0.6905982985076277,0.8598159715893015,0.5338448443117134,1.2636634157637767
4,2,495,19.49365236626105,0.11400674767932234,0.7452944068352337,0.4101150612739322,1.0218822682263267
4,3,109,4.594403227266769,0.026869924610671208,0.5790022088269777,0.3806041219040923,0.7102432993544471
5,0,302,15.26025445459005,0.0918240946654571,0.6824138273537417,0.3883060925732082,1.0218663454864105
5,1,98,3.627895780516022,0.021829796257841278,0.7775021633668209,0.5839638683168907,1.0680088923682776
5,2,494,28.969135102368238,0.17431325355234628,0.5258305716652957,0.3654330229963795,0.8555172333082726
5,3,4443,115.56979708905114,0.6954072764612876,0.879114550409087,0.5399085578417581,1.2749754897791505
5,4,73,2.7630064623197317,0.016625579063067622,0.5528085754253695,0.3503558360915203,0.9023251461935738
6,0,552,30.59874253529221,0.2408590644600861,0.5474223466377661,0.38539738880521507,0.8913194804144395
6,1,180,6.048460610176381,0.04761066773611625,0.7763611665591528,0.49530463504357386,1.1545768993972676
6,2,325,16.10331340151754,0.12675779065507412,0.7168520843865038,0.4078050068600524,1.0256096140351245
6,3,1739,51.383520997463194,0.4044671699119542,0.7900381952549085,0.4830365200608753,1.2169476145893523
6,4,70,2.6359055540699687,0.020748622105178763,0.5534620261042181,0.340729158929206,0.9033852996796423
6,5,586,20.270085907168692,0.15955668513159058,0.8151039453397788,0.5274593757260685,1.1670939609257256
