K,seed,bic_rep,aic_rep,log_lik_rep,bic_w,aic_w,log_lik_w,n_eff,flow_within,flow_between,min_sys_frac,silhouette,n_edges,n_params,converged
1,0,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,1,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,2,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,3,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,4,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,5,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,6,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,7,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,8,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,9,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,10,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,11,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,12,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,13,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,14,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,15,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,16,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,17,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,18,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
1,19,337141.46993052907,337024.8540948072,-168498.4270474036,3125.971790794464,3046.115781426649,-1509.0578907133245,2217.200557812128,100.0,0.0,100.0,,10551,14,True
2,0,327717.89816475933,327476.336790764,-163709.168395382,3150.40433027575,2984.98831087099,-1463.494155435495,2217.200557812128,75.27977201795193,24.720227982048073,40.33232781701279,,10551,29,True
2,1,326376.13515730324,326134.5737833079,-163038.28689165396,3140.7336011456837,2975.3175817409237,-1458.6587908704619,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,2,326376.13515730324,326134.5737833079,-163038.28689165396,3140.7336011456837,2975.3175817409237,-1458.6587908704619,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,3,326366.54686252715,326124.9854885318,-163033.4927442659,3140.6719035136884,2975.2558841089285,-1458.6279420544643,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,4,326368.6426036706,326127.08122967527,-163034.54061483764,3140.6962818967577,2975.2802624919977,-1458.6401312459989,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,5,326366.54686252715,326124.9854885318,-163033.4927442659,3140.6719035136884,2975.2558841089285,-1458.6279420544643,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,6,326366.54686252715,326124.9854885318,-163033.4927442659,3140.6719035136884,2975.2558841089285,-1458.6279420544643,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,7,326376.9427992262,326135.3814252309,-163038.69071261544,3140.7343657934935,2975.3183463887335,-1458.6591731943668,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,8,326376.13515730324,326134.5737833079,-163038.28689165396,3140.7336011456837,2975.3175817409237,-1458.6587908704619,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,9,326376.13515730324,326134.5737833079,-163038.28689165396,3140.7336011456837,2975.3175817409237,-1458.6587908704619,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,10,326366.54686252715,326124.9854885318,-163033.4927442659,3140.6719035136884,2975.2558841089285,-1458.6279420544643,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,11,326376.13515730324,326134.5737833079,-163038.28689165396,3140.7336011456837,2975.3175817409237,-1458.6587908704619,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,12,326366.54686252715,326124.9854885318,-163033.4927442659,3140.6719035136884,2975.2558841089285,-1458.6279420544643,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,13,327717.89816475933,327476.336790764,-163709.168395382,3150.40433027575,2984.98831087099,-1463.494155435495,2217.200557812128,75.27977201795193,24.720227982048073,40.33232781701279,,10551,29,True
2,14,326366.54686252715,326124.9854885318,-163033.4927442659,3140.6719035136884,2975.2558841089285,-1458.6279420544643,2217.200557812128,74.31497560822487,25.685024391775137,38.905813550662124,,10551,29,True
2,15,327717.89816475933,327476.336790764,-163709.168395382,3150.40433027575,2984.98831087099,-1463.494155435495,2217.200557812128,75.27977201795193,24.720227982048073,40.33232781701279,,10551,29,True
