Job Family,total_share,dom_K2,dom_K3,dom_K4,dom_K5,dom_K6
Production,13.2,97.4,94.6,49.6,54.7,54.7
Office and Administrative Support,13.0,65.7,73.3,89.5,89.5,41.8
"Installation, Maintenance, and Repair",7.7,95.4,95.4,72.3,72.3,72.3
Healthcare Practitioners and Technical,7.0,100.0,100.0,100.0,100.0,79.3
Business and Financial Operations,7.0,100.0,86.6,77.5,77.1,72.1
Management,6.7,100.0,73.7,69.0,73.7,63.7
Construction and Extraction,6.6,89.8,100.0,90.0,84.5,84.5
Transportation and Material Moving,5.3,81.0,76.8,44.8,45.0,51.5
Architecture and Engineering,3.9,100.0,100.0,100.0,100.0,100.0
Computer and Mathematical,3.8,100.0,91.7,91.7,91.7,91.7
Sales and Related,3.8,91.2,83.7,92.5,92.5,49.0
Protective Service,3.7,100.0,62.5,81.8,71.8,55.0
Food Preparation and Serving Related,3.2,55.5,88.9,100.0,100.0,89.0
Personal Care and Service,2.7,73.5,100.0,100.0,100.0,87.3
Healthcare Support,2.7,87.2,100.0,100.0,100.0,76.0
"Arts, Design, Entertainment, Sports, and Media",2.4,100.0,85.3,100.0,100.0,58.1
"Life, Physical, and Social Science",1.9,100.0,36.2,66.8,36.2,51.9
Building and Grounds Cleaning and Maintenance,1.4,74.7,50.8,100.0,75.3,74.7
Community and Social Service,1.3,100.0,100.0,100.0,100.0,75.6
"Farming, Fishing, and Forestry",1.2,50.3,70.9,29.1,42.7,42.7
Legal,1.0,100.0,100.0,100.0,100.0,100.0
Educational Instruction and Library,0.7,100.0,100.0,100.0,100.0,100.0
