system,job_family,weight,share_within_system
0,Production,19.835446661622253,32.1
0,"Installation, Maintenance, and Repair",15.355476272051654,24.8
0,Construction and Extraction,15.316837884492568,24.8
0,Transportation and Material Moving,7.535447050330272,12.2
0,Other (2 families),3.83006359084955,6.2
1,Office and Administrative Support,4.711999169135466,16.4
1,Protective Service,3.8475983179253213,13.4
1,Business and Financial Operations,3.5225414718036747,12.3
1,Management,2.893442709162478,10.1
1,Other (7 families),13.721135261933783,47.7
2,Architecture and Engineering,10.77076529400706,35.3
2,Computer and Mathematical,9.487678407064095,31.1
2,Management,2.8135691563378455,9.2
2,Business and Financial Operations,1.8667742742819424,6.1
2,Other (6 families),5.6043169119933385,18.3
3,Healthcare Practitioners and Technical,15.292011902269106,17.6
3,Office and Administrative Support,14.97541512919915,17.2
3,Business and Financial Operations,13.949265956089665,16.1
3,Management,11.708544780981528,13.5
3,Other (11 families),30.926441451123193,35.7
4,Production,15.494218664202526,69.9
4,"Installation, Maintenance, and Repair",3.911524540699059,17.6
4,Transportation and Material Moving,1.8211227147576525,8.2
4,Construction and Extraction,0.9522882727493621,4.3
5,Office and Administrative Support,12.265160406358314,26.8
5,Food Preparation and Serving Related,7.822242446463111,17.1
5,Personal Care and Service,6.423866192910326,14.0
5,Sales and Related,4.531922673948358,9.9
5,Other (9 families),14.78164865646848,32.3
