Job Family,Sys 0,Sys 1,TOTAL
Production,0.34,12.8,13.14
Office and Administrative Support,8.53,4.45,12.98
"Installation, Maintenance, and Repair",0.35,7.34,7.69
Business and Financial Operations,7.01,0.0,7.01
Healthcare Practitioners and Technical,6.99,0.0,6.99
Management,6.66,0.0,6.66
Construction and Extraction,0.67,5.9,6.57
Transportation and Material Moving,1.0,4.3,5.3
Architecture and Engineering,3.9,0.0,3.9
Sales and Related,3.44,0.33,3.77
Computer and Mathematical,3.75,0.0,3.75
Protective Service,3.71,0.0,3.71
Food Preparation and Serving Related,1.42,1.77,3.19
Healthcare Support,2.39,0.35,2.74
Personal Care and Service,1.96,0.71,2.67
"Arts, Design, Entertainment, Sports, and Media",2.39,0.0,2.39
"Life, Physical, and Social Science",1.93,0.0,1.93
Building and Grounds Cleaning and Maintenance,1.03,0.35,1.38
Community and Social Service,1.27,0.0,1.27
"Farming, Fishing, and Forestry",0.63,0.62,1.25
Legal,1.04,0.0,1.04
Educational Instruction and Library,0.67,0.0,0.67
TOTAL,61.08,38.92,100.0
