Job Family,Sys 0,Sys 1,Sys 2,TOTAL
Production,0.0,12.43,0.71,13.14
Office and Administrative Support,9.51,2.78,0.68,12.97
"Installation, Maintenance, and Repair",0.0,7.34,0.35,7.69
Business and Financial Operations,6.07,0.63,0.31,7.01
Healthcare Practitioners and Technical,6.99,0.0,0.0,6.99
Management,4.91,0.7,1.06,6.67
Construction and Extraction,0.0,6.57,0.0,6.57
Transportation and Material Moving,1.23,4.07,0.0,5.3
Architecture and Engineering,0.0,0.0,3.9,3.9
Sales and Related,3.16,0.33,0.28,3.77
Computer and Mathematical,0.31,0.0,3.44,3.75
Protective Service,2.32,1.03,0.36,3.71
Food Preparation and Serving Related,2.83,0.35,0.0,3.18
Healthcare Support,2.74,0.0,0.0,2.74
Personal Care and Service,2.67,0.0,0.0,2.67
"Arts, Design, Entertainment, Sports, and Media",2.04,0.35,0.0,2.39
"Life, Physical, and Social Science",0.59,0.64,0.7,1.93
Building and Grounds Cleaning and Maintenance,0.7,0.68,0.0,1.38
Community and Social Service,1.27,0.0,0.0,1.27
"Farming, Fishing, and Forestry",0.0,0.88,0.36,1.24
Legal,1.04,0.0,0.0,1.04
Educational Instruction and Library,0.67,0.0,0.0,0.67
TOTAL,49.05,38.78,12.15,99.98
