Job Family,Sys 0,Sys 1,Sys 2,Sys 3,TOTAL
Production,6.51,0.34,0.0,6.29,13.14
Office and Administrative Support,0.67,11.62,0.36,0.33,12.98
"Installation, Maintenance, and Repair",5.56,0.35,0.0,1.78,7.69
Business and Financial Operations,0.0,5.43,1.58,0.0,7.01
Healthcare Practitioners and Technical,0.0,6.99,0.0,0.0,6.99
Management,0.0,4.6,2.07,0.0,6.67
Construction and Extraction,5.91,0.0,0.31,0.35,6.57
Transportation and Material Moving,2.37,1.92,0.0,1.01,5.3
Architecture and Engineering,0.0,0.0,3.9,0.0,3.9
Sales and Related,0.0,3.49,0.28,0.0,3.77
Computer and Mathematical,0.0,0.31,3.44,0.0,3.75
Protective Service,0.36,3.04,0.32,0.0,3.72
Food Preparation and Serving Related,0.0,3.18,0.0,0.0,3.18
Healthcare Support,0.0,2.74,0.0,0.0,2.74
Personal Care and Service,0.0,2.67,0.0,0.0,2.67
"Arts, Design, Entertainment, Sports, and Media",0.0,2.39,0.0,0.0,2.39
"Life, Physical, and Social Science",0.36,0.28,1.29,0.0,1.93
Building and Grounds Cleaning and Maintenance,0.0,1.38,0.0,0.0,1.38
Community and Social Service,0.0,1.27,0.0,0.0,1.27
"Farming, Fishing, and Forestry",0.35,0.26,0.36,0.27,1.24
Legal,0.0,1.04,0.0,0.0,1.04
Educational Instruction and Library,0.0,0.67,0.0,0.0,0.67
TOTAL,22.09,53.97,13.91,10.03,100.0
