Job Family,Sys 0,Sys 1,Sys 2,Sys 3,Sys 4,TOTAL
Production,0.0,0.34,7.19,0.0,5.61,13.14
Office and Administrative Support,0.36,0.32,0.35,11.62,0.33,12.98
"Installation, Maintenance, and Repair",0.0,0.71,5.56,0.0,1.42,7.69
Business and Financial Operations,0.33,1.28,0.0,5.4,0.0,7.01
Healthcare Practitioners and Technical,0.0,0.0,0.0,6.99,0.0,6.99
Management,0.7,1.05,0.0,4.91,0.0,6.66
Construction and Extraction,0.0,0.67,5.55,0.0,0.35,6.57
Transportation and Material Moving,0.0,0.34,2.38,1.92,0.66,5.3
Architecture and Engineering,3.9,0.0,0.0,0.0,0.0,3.9
Sales and Related,0.28,0.0,0.0,3.49,0.0,3.77
Computer and Mathematical,3.44,0.0,0.0,0.31,0.0,3.75
Protective Service,0.0,1.05,0.0,2.67,0.0,3.72
Food Preparation and Serving Related,0.0,0.0,0.0,3.18,0.0,3.18
Healthcare Support,0.0,0.0,0.0,2.74,0.0,2.74
Personal Care and Service,0.0,0.0,0.0,2.67,0.0,2.67
"Arts, Design, Entertainment, Sports, and Media",0.0,0.0,0.0,2.39,0.0,2.39
"Life, Physical, and Social Science",0.7,0.64,0.0,0.59,0.0,1.93
Building and Grounds Cleaning and Maintenance,0.0,0.34,0.0,1.04,0.0,1.38
Community and Social Service,0.0,0.0,0.0,1.27,0.0,1.27
"Farming, Fishing, and Forestry",0.36,0.53,0.35,0.0,0.0,1.24
Legal,0.0,0.0,0.0,1.04,0.0,1.04
Educational Instruction and Library,0.0,0.0,0.0,0.67,0.0,0.67
TOTAL,10.07,7.27,21.38,52.9,8.37,99.99
