Job Family,Sys 0,Sys 1,Sys 2,Sys 3,Sys 4,Sys 5,TOTAL
Production,7.19,0.34,0.0,0.0,5.61,0.0,13.14
Office and Administrative Support,1.04,1.71,0.36,5.43,0.0,4.44,12.98
"Installation, Maintenance, and Repair",5.56,0.71,0.0,0.0,1.42,0.0,7.69
Business and Financial Operations,0.0,1.28,0.68,5.05,0.0,0.0,7.01
Healthcare Practitioners and Technical,0.0,0.0,0.36,5.54,0.0,1.09,6.99
Management,0.0,1.05,1.02,4.24,0.0,0.35,6.66
Construction and Extraction,5.55,0.67,0.0,0.0,0.35,0.0,6.57
Transportation and Material Moving,2.73,0.68,0.0,0.25,0.66,0.98,5.3
Architecture and Engineering,0.0,0.0,3.9,0.0,0.0,0.0,3.9
Sales and Related,0.0,0.0,0.28,1.85,0.0,1.64,3.77
Computer and Mathematical,0.0,0.0,3.44,0.31,0.0,0.0,3.75
Protective Service,0.0,1.39,0.0,2.04,0.0,0.28,3.71
Food Preparation and Serving Related,0.0,0.0,0.0,0.35,0.0,2.83,3.18
Healthcare Support,0.0,0.0,0.0,2.08,0.0,0.66,2.74
Personal Care and Service,0.0,0.0,0.0,0.34,0.0,2.33,2.67
"Arts, Design, Entertainment, Sports, and Media",0.0,0.0,0.33,1.39,0.0,0.68,2.4
"Life, Physical, and Social Science",0.0,1.0,0.34,0.59,0.0,0.0,1.93
Building and Grounds Cleaning and Maintenance,0.0,1.03,0.0,0.0,0.0,0.35,1.38
Community and Social Service,0.0,0.0,0.0,0.96,0.0,0.31,1.27
"Farming, Fishing, and Forestry",0.35,0.53,0.36,0.0,0.0,0.0,1.24
Legal,0.0,0.0,0.0,1.04,0.0,0.0,1.04
Educational Instruction and Library,0.0,0.0,0.0,0.0,0.0,0.67,0.67
TOTAL,22.42,10.39,11.07,31.46,8.04,16.61,99.99
